example_id,current_message,candidate_label (suggested),gold_intent (YOU FILL),ambiguity_flag (yes/no),gold_escalation (AUTO_HANDLE/ESCALATE),notes
GS-0037,"I was in the process of ordering the mate 9 on your site, but it went up form $399 to $465 between the time I put it in cart and ordered. It is now out of stock. Will I ever be able to buy it form you again at $399 or should I buy it from a different online retailer?",order_issue,,,,
GS-0038,ORDER#402-5179254-1538742 is shwng dlvrd since last 2 days hwevr I didn't rcv it. Cntcted customer care many times but of no help,order_issue,,,,
GS-0039,It would be nice if warned you about custom charges before you order something 😬,order_issue,,,,
GS-0040,"order no. 408-9613915-0161138 Just one question, what is my fault in all this and you are telling me policies",order_issue,,,,
GS-0041,please add 'Boston Legal' TV show on Prime Video Please. Thank you!,prime_membership,,,,
GS-0042,"🙆🏽‍♂️ I always speak highly of you Prime () , but today was a sad day.....",prime_membership,,,,
GS-0043,As a longtime customer (1999) and day one Prime member (2005) after today’s experience and variations of it in the recent past I can say: SKIP FOR BIG TICKET ITEMS! You can do better elsewhere. You guys fucked it up with me today. You too,prime_membership,,,,
GS-0044,money came out my account for amazon prime but i’m not an amazon prime user?,prime_membership,,,,
GS-0045,", I am a prime video member in the UK.Is there anyway I can watch #ArjunReddy in the UK?",prime_membership,,,,
GS-0046,is there a problem with your .de site? It is so slow? Is it because I became Prime today? #PrimeAtLastInBelgium,prime_membership,,,,
GS-0047,"Thanks I have Prime memberships in multiple countries, I place orders every single day, I use Prime Basics Yet, I'll be shopping elsewhere, from now on, because your associates, couldn't figure out the %15 coupon code that you were advertising! #primeproblems",prime_membership,,,,
GS-0048,"Is this treasure only for Prime users? I found the product twice but never got the option of ""treasure hunt""! #apptreasurehunt",prime_membership,,,,
GS-0049,"I live in Netherlands and am a DE prime member. I am trying to buy Alexa devices on Black Friday deals, but they wont ship to NL???",prime_membership,,,,
GS-0050,can we talk about this please? Why is prime going up from £79 to £179?!?!?,prime_membership,,,,
GS-0051,Amazon Prime Now saving my life while I’m working from home. All the Doritos and Diet Coke. 👌🏼,prime_membership,,,,
GS-0052,My address is not working for amazon prime.,prime_membership,,,,
GS-0053,any plans to launch Prime Photos in india ?,prime_membership,,,,
GS-0054,"Whybu don't have Monthwise Prime subscription ? Well, it could certainly good of u have ..!!",prime_membership,,,,
GS-0055,"doing a cheeky one and charging me for prime when I never signed up to it, cheers guys 👍🏼",prime_membership,,,,
GS-0056,Here's the top 250 movies in the world by . Which movies are in ur prime?,prime_membership,,,,
GS-0057,"Hey , when will The Big Sick be available on Prime Video?",prime_membership,,,,
GS-0058,can you buy Prime as a gift in the UK yet? Thanks,prime_membership,,,,
GS-0059,"hi,my product has been checked by technician​, waiting for it's collection n refund.I am unable to reach u over call,plz help !!",refund_return,,,,
GS-0060,"i switched to a monthly prime payment and it said I would be refunded for the yearly charge, when should i expect it?",refund_return,,,,
GS-0061,I am an Echo owner. I am extremely frustrated and would like to be contacted by some senior software person. Otherwise I am compelled to return the product. My Amazon account ID is __email__ it will also have my mobile number.,refund_return,,,,
GS-0062,My refund is taking a very lomg time,refund_return,,,,
GS-0063,I then had to wait nearly 2 days for an email reply and still haven't had a refund I never complain in this manner but you don't seem to care about customers #tobigtocare 😠,refund_return,,,,
GS-0064,amazon not giving my cashback till now if not I have to file this case to court to ipc 420,refund_return,,,,
GS-0065,"had a situation where my sister credit card was charged for my annual fee for prime, wondering if she can get her money back?",refund_return,,,,
GS-0066,"Random £7.99 charge today, just been told it's an ""authorization charge"" and will be refunded.. what's this all about?",refund_return,,,,
GS-0067,selling duplicate products... Worst experience ever... Even not accepting return request..,refund_return,,,,
GS-0068,is there anyone sensible that I could speak with to sort out a refund? You deliberately did not have a free number to call u on,refund_return,,,,
GS-0069,#AmazonIndia Why the exchange offer is not available in location 751012????,refund_return,,,,
GS-0070,had requested a return on 26th October no pick up has been arranged yet .had convo wth you team two backs that didn't help either,refund_return,,,,
GS-0071,"I am very upset with your service. All my orders are being returned to seller without even contacting me, the orders are paid too.",refund_return,,,,
GS-0072,"It’s no wonder web service is the only Amazon service that turns a profit. What kind of company sends customers used item after charging them for new item and then refuses to exchange it for a new item, ? #boycott #ripoff #unethical",refund_return,,,,
GS-0073,firstly I have 500 refund still pending. Second: look at the kind of packaging you did. Third : CardOD has a meaning? #amazonIn,refund_return,,,,
GS-0074,First time I purchased the product from Amazon is defective. Purchased on 6/10 and 2day only I was trying to charge it in car1/2,payment_billing,,,,
GS-0075,why on earth leave it in someone's bin. Found the card today and bins went out last night and emptied by the time we found the card. Never requested parcel to be left and marked as 'handed to owner' on my account. Christmas shopping now at the dump.,payment_billing,,,,
GS-0076,why is the payment gateway asking me for the ATM PIN rather than sending me an OTP as usual?,payment_billing,,,,
GS-0077,6200 rupees deducted from my atm card while adding money on amazon pay.,payment_billing,,,,
GS-0078,"Dear Someone has done a trnscn of Rs. 86,100 from my friend's (Manoj Singh) SBI card (#__credit_card__) on ""Amazon Pay India Priva Banglore"" on 25/11/17 :07, i did not share any OTP to any one. OTP Time: 3:49 pm, kindly luk the matter seriously,Contact",payment_billing,,,,
GS-0079,I am unable to process payment for amazon prime . Getting error continuously .. help asap,payment_billing,,,,
GS-0080,can I not use an Amazon Gift Card on What’s the point of linking the accounts then?,payment_billing,,,,
GS-0081,Wtf Amazon Prime just charged me 😤😡,payment_billing,,,,
GS-0082,"Hey , it would be awesome if you took the correct amount out for subscriptions, instead of a double charge 😬😬😬",payment_billing,,,,
GS-0083,"ur things rate with paking charge most heavy rate in market prize,,",payment_billing,,,,
GS-0084,I had Amazon prime and was receiving free players on Madden 18. My account didn't have money it so it didn't get charged this week. If I update care information will it give me this week's giveway card still?,payment_billing,,,,
GS-0085,"i used my axis bank credit card in your app , on the next day my account is debited by 2400 rs .i have been cheated by someone...",payment_billing,,,,
GS-0086,"hi, I just ""purchased"" a FREE trial for audible but I got a receipt from my credit card saying you actually charged me for the trial. Help?",payment_billing,,,,
GS-0087,"So, I am on Prime and can't watch a movie without extra payment. How does that work? Bearing in mind that your answer may develop in all ties with Amazon. Will then send Alexa and Dot back as then not as up to expectations.",payment_billing,,,,
GS-0088,"AMAZON INDIA WILL CHARGE EXTRA IF WE PURCHASE ITEMS WHICH ARE NOT ""AMAZON FULLFILLED""",payment_billing,,,,
GS-0089,ur customer service reps are unhelpful and triple charging a customer for the 2nd time in a month and no help isnt great customer service. Thanks a lot ughhhh bad look for ur company,customer_service_complaint,,,,
GS-0090,I will never ever transact with you here after. you guys are worst. N if possible please leave INDIA #BoyCottAmazon,customer_service_complaint,,,,
GS-0091,"live chat experience was horrible just now, wow",customer_service_complaint,,,,
GS-0092,I’m getting no where with emailing customer service. This is beyond a joke. Thanks amazon for stealing $100 from me. Can’t even tell me what’s happend because of confidentiality reasons. Never buying e-gift cards again. What a joke,customer_service_complaint,,,,
GS-0093,"2days in a row, rude and useless customer service!",customer_service_complaint,,,,
GS-0094,i tagged so much of in jharcraft fashion. Worthless crap as you are. worst customer service ever #atrociousamazon,customer_service_complaint,,,,
GS-0095,you have turned terrible in your services,customer_service_complaint,,,,
GS-0096,Dunno what happened in the last few months but my customer service experiences with have gone from fantastic to absolutely dreadful.,customer_service_complaint,,,,
GS-0097,"customer service so disappointing... 0 accountability, exp so far is that team doesn’t care",customer_service_complaint,,,,
GS-0098,"The response from the customer service team at just made me feel like an ungrateful child at Christmas, and finally understand how my aunt gets so much free stuff.",customer_service_complaint,,,,
GS-0099,Really disappointed with amazon chat agent. Closed my chat even when i was online. This was not expected from Amazon. 😞,customer_service_complaint,,,,
GS-0100,bitterly disappointed with the lack of care by and their customer service. Not helped by the patronising sign off,customer_service_complaint,,,,
GS-0101,"-Frustrating customer service. When dialed cust. care number,I get does not exist msg. Worst experience.Not recommended to any one",customer_service_complaint,,,,
GS-0102,Thanks to I now own all 4 #halloweentown movies. I was disappointed when I seen it not on tv this Halloween season but amazon saved the day 🖤🎃🖤🎃🖤,customer_service_complaint,,,,
GS-0103,"Worst service, 45 days no solutions to complaint, only delay promised #WorldSmileDay #ZefoWaliDiwaliSale #sasikala",customer_service_complaint,,,,
GS-0104,"I just got an email that the email address of my account has been changed to another email without my permission, what can I do?",account_access,,,,
GS-0105,you have a number I can call? Account has been compromised.,account_access,,,,
GS-0106,I have some ebooks on my mobile but I want sync those with my ipad. I'm logged in with same account in both devices,account_access,,,,
GS-0107,Hi Amazon my account has been closed without reason please help . There is no proper response from __email__,account_access,,,,
GS-0108,hi hello yes why can’t I watch lock up by MSNBC. “This video is currently unavailable to watch in your location” I just wanna watch people behind bars talk about prison politics...I didn’t pay $90 to be told “no”,account_access,,,,
GS-0109,I wish to close my account with you as I have another Amazon account operational now. Please get back to me on how to close it.,account_access,,,,
GS-0110,I've tried contacting support via phone multiple times within the past month to have two step verification removed from my account because I just changed my phone number and didn't get to change it on my account and have had no help or answers to anything,account_access,,,,
GS-0111,Trying to buy a specific item from .ca and ship to myself / family or a locker in Canada (so .ca to .ca) and it always fails.,account_access,,,,
GS-0112,Fake its 3 months n more stily my account is on hold 5000₹ in pls don't use for any transaction they can out your account on hold,account_access,,,,
GS-0113,"When you call because drivers are pitching packages 20 feet at doors on your street, and they just tell you to ""note your account to not throw packages"" with 0 concern.",account_access,,,,
GS-0114,", for fuck's sake, fix your piece of crap two-factor login.",account_access,,,,
GS-0115,"whats your helpline number, my account has been hacked into.",account_access,,,,
GS-0116,Hey do you still monitor the Amazon Cares twitter account?,account_access,,,,
GS-0117,hello someone has hacked Mt account and changed.my email address can you help.me please?,account_access,,,,
GS-0118,"you morons making it impossible to login to make a purchase, so no sale tonight. #dickheads",account_access,,,,
GS-0119,Is $59.95 the final price or do I have to pay more?,pricing_query,,,,
GS-0120,"awful service, bluff,fraud, shows price of item as Rs11700 whose actual MRP is RS3995. Totally unbelievable and discussing.",pricing_query,,,,
GS-0121,sold a defective car part and now won't help. Cost more than $700 in additional expenses. #amazonfail #,pricing_query,,,,
GS-0122,How is selling products at more than the MRP? sold the same product to me at 90.404-5751623-5813152,pricing_query,,,,
GS-0123,amazon selling a water bottle real MRP 284/-. Amazon price is 379/- In retail shops this bottle is available 250/-.,pricing_query,,,,
GS-0124,is sale still going on?bcz all products are at the same price as they were in sale 😂😂😂 #Flipkart #snapdeal #Amazon,pricing_query,,,,
GS-0125,"Collusive #fraud by , , , by selling shoddy #designer bedsheets at fancy price. :-(",pricing_query,,,,
GS-0126,"Dear , Please check the following article and request you to update the MI Accessories products accordingly. It seems your product prices are not up-to-date. MI 20000 MAH Power Bank price got down to ₹1999/- #GST",pricing_query,,,,
GS-0127,I thought you guys were streaming Thursday Night Football this year. Gave up when you didn’t like the teams? #BUFvsNYJ,content_streaming_issue,,,,
GS-0128,why does echo dot disconnect bluetooth and change to built-in speaker when i try to stream in multiroom-mode?,content_streaming_issue,,,,
GS-0129,I can’t stream amazon video on my tv anymore it’s frozen every time I try.,content_streaming_issue,,,,
GS-0130,"Episode 4 of Girls' Last Tour, which is an anime title, has been uploaded without Subtitles on !",content_streaming_issue,,,,
GS-0131,Hi. Several anime series have no english subtitles. Please check.,content_streaming_issue,,,,
GS-0132,fuck you for taking $15 from me every month since february. i never signed up for your stupid audible shit and never used it and now i'm out $150 that i REALLY needed.,content_streaming_issue,,,,
GS-0133,Anyone having trouble w/ I have sound but no pics. All other streaming apps are fine on my fire stick,content_streaming_issue,,,,
GS-0134,"please fix your TNF stream on the mobile app, haven't been able to get a stable stream for even 3 seconds. Same as last week",content_streaming_issue,,,,
GS-0135,at what time do you update your library on Friday?,device_tech_support,,,,
GS-0136,Testing #Alexa with accents from different parts of India. I must say it's really good and recognizes almost everything. And my impression of Bengali accent sucks. well done! Need to get better at searching things.,device_tech_support,,,,
GS-0137,Thank you #Kindle for being with me through all the good days and bad days and now you are my ever lasting friend,device_tech_support,,,,
GS-0138,"hiwhy am’t getting HD version movies on my device over wifi n mob data, while watchg movie time stamp bar show hidden hd bar",device_tech_support,,,,
GS-0139,problem using windows 10 to connect to amazonSecure Connection FailedPlease contact the website owners to inform them of problem,device_tech_support,,,,
GS-0140,my echos all show “firmware update required” for setting up multi room. It’s been like that for a week. How do I force it to update? Dot and echo 2.,device_tech_support,,,,
GS-0141,i am having issues transferring my downloaded books to my kindle fire hd 8.9 please help me,device_tech_support,,,,
GS-0142,"It'd be cool if 2 could 'network' timers. IE set a timer on the kitchen Echo, have it go off on the Echo in the bedroom.",device_tech_support,,,,
GS-0143,Can't wait to have Alexa in the family 😍,device_tech_support,,,,
GS-0144,when do I see alexa app on iOS india store. Changing store to US is too cumbersome on my iPhone,device_tech_support,,,,
GS-0145,i bought a Carson Analogue Blue Dial Men'S Watch- Cr1535 but after three months it stops work how i claimed warrenty for repair?,repair_service_status,,,,
GS-0146,Nt happy with Tab purchase. gone down again after repair in 10 month,repair_service_status,,,,
GS-0147,"Bought Nokia6 on 041017. Ph heated up, nt starting, nt chrgn. Cn u pls provide Service Centre Address in Patna 80001.",repair_service_status,,,,
GS-0148,Brand new out of box DCCS620P1 from doesn't even start on full battery. Since your 1-800 keeps Eastern Time Zone hours should I drop by Factory Service Center tomorrow or just send it back and buy another brand?,repair_service_status,,,,
GS-0149,"Apparently, has no control over their own local courier service centre! Seriously guys? The lamest I’ve excuse ever heard (2/n)",repair_service_status,,,,
GS-0150,"I bought 2 blackanddecker angle grinder from amazon and the BandD authorised service center denies warranty, saying no warranty for online purchase",repair_service_status,,,,
GS-0151,Thanks for the great customer service center being available for my inquiry. I spoke with an agent after a few rings and all was sorted. 👌🏻,repair_service_status,,,,
GS-0152,called Glen Service Center to install but thier response is very cool.Pls help,repair_service_status,,,,
GS-0153,When will amazon restock this item?,availability_question,,,,
GS-0154,"Get ready: available tomorrow at 11am PDT are Super Mario Odyssey amiibos! Mario, Peach, Bowser, or Wedding 3-Pack amiibos are waiting here -",availability_question,,,,
GS-0155,got a request I want these 3 and Thomas all session available in both English and Hindi please it's 4 the inner kid in meplease,availability_question,,,,
GS-0156,when will me scampi fries be getting dispatched? Should have been yesterday and still not been dispatched. I want fishy fingers. Cheers 😏👍,availability_question,,,,
GS-0157,Why isn't available on ?,availability_question,,,,
GS-0158,Is 's new CD also available for AutoRip?,availability_question,,,,
GS-0159,I either missed it or fail @ searching. Is the blue/orange Ted Baker watch on this page still available?,availability_question,,,,
GS-0160,"is amzon pantry available to satna mp 485001,pls tell",availability_question,,,,
GS-0161,Do you guys offer a translation service?,promo_discount_query,,,,
GS-0162,"This cheat company showed their real face, put out offer and then give excuses, it's cheating #AmazonINCheater",promo_discount_query,,,,
GS-0163,"Is the warehouse Nespresso machines eligible to the ""Nespresso Reward"" offer currently running? Thanks",promo_discount_query,,,,
GS-0164,disappointed to see the advertised offer doesn’t actually exist 🙄 #amazonfail,promo_discount_query,,,,
GS-0165,I hd bought one plus 5 from Amazon on no interest emi offer on 24th sep.But I see my emi is with interest. 1/2,promo_discount_query,,,,
GS-0166,Karo #DiwaliKiTayyari with a 10.or G. Guess the discount and stand a chance to win it. #AmazonGreatIndianFestival,promo_discount_query,,,,
GS-0167,What is #AmazonPrime offer with Vodafone,promo_discount_query,,,,
GS-0168,the diagnostic test identifies my phone as one plus 3 and gives me less discount while it actually is a OnePlus 3T 128GB variant,promo_discount_query,,,,
GS-0169,Your Amazon Pay feature does not work in India. I spent almost 30 minutes trying to speak to Joseph from your customer support,feature_request,,,,
GS-0170,found a bug (might be a feature :P) in amazon pay which has crept in production :P,feature_request,,,,
GS-0171,"Hey , I’m getting a lot of “stutters” I’m music I’ve downloaded. Any suggestion to fix the issue?",feature_request,,,,
GS-0172,Have you done away with the ‘Search across all wish lists’ feature? Please say ‘no’.,feature_request,,,,
GS-0173,We need to talk. Can you spare someone to give me a call? I have a kind of complaint/suggestion.,feature_request,,,,
GS-0174,"Hey, : would it ever be possible to enable a feature that allows a user to create tags/folders within a Watchlist? Would love to group, say, ""Horror"" together without scrolling through 200+ titles. Thanks!",feature_request,,,,
GS-0175,It would be great if you could start sending a bookmark with books.,feature_request,,,,
GS-0176,I have to say this #amazonprimevideo has the horrible search feature I have ever come across. And the worst part is there is no filtering by any kind!,feature_request,,,,
GS-0177,"Hey I am not happy with a product - It is so low-quality, I consider it defective. What happens if I send it back and you don't think it's ""defective""?",product_issue,,,,
GS-0178,"Man, I am so happy to get damaged books because you packed them like crap ... I'm super pissed.",product_issue,,,,
GS-0179,it is very shameful that amazon is showing product on website is different to supply. It's damaged and low quality also.,product_issue,,,,
GS-0180,"disgraceful. Sent defective item. Phoned 3 times, hung up on twice and told Amazon don't know nothing about this go to maunfacturer.",product_issue,,,,
GS-0181,got a baby monitor as a gift 2 months ago. It was a bought from amazon and it’s now faulty . I need to send it back pls,product_issue,,,,
GS-0182,"Thanks for sending me an ""inspected"" used 3 ring binder..with a broken 3rd ring. Really nice.",product_issue,,,,
GS-0183,Yet again a damaged Item has been sent across to me. You guys keep letting me down. T-Shirt print is completly messed up check the Trishul print.,product_issue,,,,
GS-0184,I am purchased new watch but Analog watch not working properly. I have replaced it with Amazon but amazon has send me the same piece again.. I am totally annoyed with the response of Amazon online shopping...,product_issue,,,,
GS-0185,Amazon selling damaged product with Coolpad,product_issue,,,,
GS-0186,poor service and i complaint regarding my 10.or g display damaged in 6 days they not given replace product they block my no.,product_issue,,,,
GS-0187,"Wow! Thanks for the great support. Had a problem, you answer the phone and fixed it yesterday. Then just now a real person call me back and followed up! ⭐️ ⭐️⭐️⭐️⭐️❗️",human_assistance_request,,,,
GS-0188,"Isn’t it nice when you call customer services and you actually speak to a helpful person!! Shouldn’t come as such a shock really, every company should be that way. Well done for doing it right. ✅",human_assistance_request,,,,
GS-0189,Just had a call with Amazon cc representative... Sarcastic reply,human_assistance_request,,,,
GS-0190,Can you please call me on 9980131010,human_assistance_request,,,,
GS-0191,i need to speak to a manager,human_assistance_request,,,,
GS-0192,Hey been calling yr cust care for over a month now to get an issue related to my Amazon pay balance resolved but there hasn’t been any signs of a solution! Don’t ask me to fill anymore forms please. I will DM my contact and you better call me! Tired!!,human_assistance_request,,,,
GS-0193,please can you help me speak to a real person rather than a robot on the Amazon flex driver support.,human_assistance_request,,,,
GS-0194,finally got me with some nonfiction eBooks; i am going to reinforce so many of my beliefs and hopefully learn some things/become a better human #CyberMonday,human_assistance_request,,,,
GS-0195,"Get it sorted out today. I've literally lost patience. I've been talking to Amazon for the past week. My no is 8076228626, call me on this no. I'm not going to do anything from my side anymore. I literally want to break the nose of my friend who suggested Amazon to me.",human_assistance_request,,,,
GS-0196,you were meant to call me back 1hr ago re:lost parcel needed for tmoro. U were calling the driver to find out where it was left??,human_assistance_request,,,,
GS-0197,"You pay extra for gift wrapping with and this is what turns up 🤔. As well as looking abysmal, how exactly is the partially sighted recipient of this present expected to read their “personalised message” when it’s so small? #ripoff #waste #Amazon",UNKNOWN,,,,
GS-0198,excuse me but why are you holding 2x the amount of money for one item. i deserve better.,UNKNOWN,,,,
GS-0199,Someone is trying to scam using your name. he tried to scam me but i was smart enough to catch him. #amazon,UNKNOWN,,,,
GS-0200,HEY WTF DOES THIS MEAN? I AM A HIGHLY INTELLIGENT PERSON WHO WON AWARDS IN BIOOGY AND MATH LOL BUT I CAN NOT SIGN OUT OF YOUR CONVOLUTED WEB SITE 😠😩,UNKNOWN,,,,
GS-0201,do you declared #SennheiserSteps winners,UNKNOWN,,,,
GS-0202,how do I sign up for the once yearly amazon? I can only find the monthly payments right now. And just a 30 day trial. I just want to buy the yearly one.,UNKNOWN,,,,
GS-0203,trying to call the customer support without any luck. What's the best way to reach you fast?,UNKNOWN,,,,
GS-0204,Thank you for the great deal on cyber Monday now I can rest easy #christmas✅,UNKNOWN,,,,
GS-0205,"After doing online orders today at work, I have a special place of appreciation in my heart for those who work at doing my orders lol I love y’all 💗",UNKNOWN,,,,
GS-0206,YOU ARE BLESSED I CANT POST PICS OF THESE CHRISTMAS GIFTS YOU SENT RN BECAUSE YOU SENT ME A DAMN MESS 😡😡😡😡😡😡😡,UNKNOWN,,,,
GS-0207,"Wow. This ""on hold"" music that I've been listening too for the last 5 minutes for is starting to irritate me",UNKNOWN,,,,
GS-0208,Gotta love packaging. So green and not wasteful at all.,UNKNOWN,,,,
GS-0209,"Can anyone on advise on a quick query? If I buy an e-voucher for my friends in Southern Ireland, where they obviously have euros, will they still be able to use them? Many thanks in advance. :-)",UNKNOWN,,,,
GS-0210,HEY get your heads out of your rear and fix the problems,UNKNOWN,,,,
GS-0211,has been driving me crazy lately. Thank you so much for making my life a nightmare and wasting my precious time. Sincerely,UNKNOWN,,,,
